City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,hotan,37.0997,79.9269,9.05,38,100,2.87,CN,1699622344
229,port alfred,-33.5906,26.891,23.43,80,1,4.02,ZA,1699622345
230,saipan,15.1355,145.701,28.39,78,20,6.17,MP,1699622346
231,la passe,45.5549,-0.8967,15.13,68,54,11.21,FR,1699622347
232,big bend,-26.8167,31.9333,28.47,48,50,3.33,SZ,1699622349
233,georgetown,5.4112,100.3354,28.97,84,40,1.54,MY,1699622350
234,trongsa,27.5026,90.5072,9.77,96,99,1.0,BT,1699622351
235,zemio,5.0314,25.1361,27.92,72,100,1.01,CF,1699622352
236,beni saf,35.301,-1.3823,25.16,71,89,8.24,DZ,1699622353
237,mutare,-18.9707,32.6709,26.71,34,0,4.8,ZW,1699622354
238,olonets,60.9847,32.9698,5.57,90,100,3.99,RU,1699622355
239,quibala,-10.7337,14.98,25.04,72,100,2.0,AO,1699622356
240,polyarnyy,69.1989,33.4478,-3.67,91,100,8.2,RU,1699622357
241,nizhneudinsk,54.9076,99.0276,-14.24,94,29,1.61,RU,1699622358
242,blenheim,-41.516,173.9528,5.7,88,0,2.47,NZ,1699622359
243,takoradi,4.8845,-1.7554,28.23,78,100,5.18,GH,1699622355
244,mkushi,-13.6202,29.3939,29.47,34,90,4.75,ZM,1699622361
245,nalut,30.3333,10.85,28.36,15,0,2.46,LY,1699622362
246,chalus,36.655,51.4204,16.7,100,100,2.06,IR,1699622363
247,tarija,-21.5355,-64.7296,23.95,60,9,0.0,BO,1699622364
248,paita,-5.0892,-81.1144,20.26,77,56,5.4,PE,1699622365
249,alaghsas,17.0187,8.0168,34.94,9,0,3.6,NE,1699622365
250,pakokku,21.3333,95.1,26.61,65,2,2.67,MM,1699622366
251,inongo,-1.95,18.2667,24.98,81,51,1.12,CD,1699622367
252,vianopolis,-16.7419,-48.5164,31.23,13,33,4.33,BR,1699622368
253,juankoski,63.0667,28.35,-0.02,98,100,2.82,FI,1699622369
254,udachny,66.4167,112.4,-15.29,94,82,2.15,RU,1699622370
255,petropavlovsk-kamchatsky,53.0452,158.6483,-3.64,73,100,9.39,RU,1699622372
256,chui,-33.6971,-53.4616,18.85,58,95,5.3,UY,1699622373
257,kamenka,51.3223,42.7678,7.19,69,5,5.77,RU,1699622374
258,saldanha,-33.0117,17.9442,18.23,76,43,9.33,ZA,1699622375
259,avarua,-21.2078,-159.775,24.03,94,75,1.54,CK,1699622376
260,boa vista,2.8197,-60.6733,30.99,58,20,4.63,BR,1699622187
261,lorengau,-2.0226,147.2712,27.07,86,100,4.72,PG,1699622378
262,island harbour,50.724,-1.2758,11.2,81,24,3.58,GB,1699622379
263,kalianget,-7.05,113.9333,28.78,74,100,2.73,ID,1699622381
264,bukama,-9.2,25.85,28.29,62,90,2.42,CD,1699622382
265,plouzane,48.3833,-4.6167,13.18,71,75,9.77,FR,1699622383
266,rio brilhante,-21.8019,-54.5464,35.13,36,93,4.78,BR,1699622383
267,khandyga,62.6667,135.6,-33.07,100,91,0.68,RU,1699622384
268,malvan,16.0667,73.4667,28.88,74,89,2.73,IN,1699622385
269,puerto vallarta,20.6204,-105.2307,26.06,88,75,0.0,MX,1699622386
270,papao,-17.75,-149.55,24.82,79,100,1.68,PF,1699622387
271,rasht,37.2808,49.5832,16.9,100,100,0.0,IR,1699622144
272,lompoc,34.6391,-120.4579,8.66,90,0,3.6,US,1699622388
273,niquero,20.0431,-77.5828,26.91,80,0,3.16,CU,1699622389
274,laon,49.5667,3.6667,10.25,75,100,7.82,FR,1699622390
275,rabo de peixe,37.8,-25.5833,20.73,99,40,7.72,PT,1699622391
276,agat village,13.3886,144.6585,29.06,81,20,3.09,GU,1699622392
277,codrington,-38.2667,141.9667,16.0,72,1,3.17,AU,1699622393
278,tchintabaraden,15.8969,5.7985,35.31,7,10,2.81,NE,1699622394
279,chengde,40.9725,117.9361,-3.37,40,75,1.27,CN,1699622395
280,whitehorse,60.7161,-135.0538,0.43,80,75,7.72,CA,1699622396
281,bikenibeu village,1.3673,173.1241,28.98,84,75,1.03,KI,1699622396
282,qamdo,31.1667,97.2333,-0.33,46,32,0.62,CN,1699622397
283,sisimiut,66.9395,-53.6735,-6.02,77,100,6.5,GL,1699622398
284,yara,20.2753,-76.9533,26.11,83,0,2.46,CU,1699622399
285,carnarvon,-24.8667,113.6333,20.4,74,100,10.84,AU,1699622400
286,kralendijk,12.15,-68.2667,30.99,70,40,7.72,BQ,1699622401
287,puerto baquerizo moreno,-0.9,-89.6,24.57,81,94,6.21,EC,1699622402
288,akureyri,65.6835,-18.0878,-3.04,74,0,2.06,IS,1699622403
289,santa isabel,-23.3156,-46.2214,25.84,56,14,2.22,BR,1699622198
290,benguela,-12.5763,13.4055,28.48,59,19,5.36,AO,1699622406
291,ghadamis,30.1337,9.5007,29.93,13,0,0.31,LY,1699622407
292,alofi,-19.0595,-169.9187,25.94,94,75,4.08,NU,1699622304
293,villa gesell,-37.2639,-56.973,19.47,48,100,8.26,AR,1699622409
294,usogorsk,63.4106,48.6872,0.37,96,100,0.15,RU,1699622410
295,tsiombe,-25.3,45.4833,23.6,51,87,5.22,MG,1699622411
296,magadan,59.5667,150.8,-16.06,79,5,5.93,RU,1699622412
297,borogontsy,62.6683,131.1683,-32.45,100,15,1.28,RU,1699622413
298,sittwe,20.15,92.9,25.49,72,1,4.17,MM,1699622414
299,kita,13.0349,-9.4895,36.03,14,100,1.66,ML,1699622415
300,winnemucca,40.973,-117.7357,-1.97,59,100,2.06,US,1699622415
301,crane,31.3974,-102.3501,8.58,62,100,4.42,US,1699622417
302,toliara,-23.35,43.6667,25.52,64,15,8.08,MG,1699622418
303,mata-utu,-13.2816,-176.1745,27.5,82,100,4.91,WF,1699622420
304,puerto leguizamo,-0.1934,-74.7819,22.94,99,100,0.61,CO,1699622421
305,moanda,-1.5575,13.2178,23.86,96,100,1.54,GA,1699622422
306,guerrero negro,27.9769,-114.0611,15.07,47,0,1.13,MX,1699622423
307,kapuskasing,49.4169,-82.4331,-3.95,93,100,2.57,CA,1699622424
308,tadine,-21.55,167.8833,21.1,68,4,7.16,NC,1699622425
309,tangalle,6.024,80.7911,26.62,82,67,3.31,LK,1699622426
310,ghat,24.9647,10.1728,31.17,9,0,1.72,LY,1699622427
311,college,64.8569,-147.8028,-6.01,88,100,1.54,US,1699622428
312,n'zeto,-7.2312,12.8666,27.64,76,100,5.01,AO,1699622429
313,richards bay,-28.783,32.0377,25.86,62,25,6.62,ZA,1699622430
314,chawang,8.4261,99.5047,25.89,89,100,0.54,TH,1699622431
315,shengli,37.4564,118.4856,5.44,46,100,2.55,CN,1699622432
316,fuerte olimpo,-21.0415,-57.8738,37.83,32,30,5.69,PY,1699622433
317,man,7.4125,-7.5538,27.36,81,64,0.43,CI,1699622434
318,dubbo,-32.25,148.6167,20.07,68,2,4.12,AU,1699622435
319,isangel,-19.55,169.2667,22.38,74,96,7.0,VU,1699622437
320,pecos,31.4229,-103.4932,9.46,93,100,0.0,US,1699622101
321,argo,37.6333,22.7333,15.44,78,100,2.74,GR,1699622440
322,larreynaga,12.6769,-86.5719,24.59,85,81,0.89,NI,1699622441
323,alice springs,-23.7,133.8833,26.75,41,1,6.69,AU,1699622203
324,kavaratti,10.5669,72.642,28.83,72,100,3.91,IN,1699622443
325,qaqortoq,60.7167,-46.0333,-6.45,59,100,3.96,GL,1699622444
326,banjarmasin,-3.3244,114.591,29.08,81,35,2.19,ID,1699622404
327,fortaleza,-3.7227,-38.5247,31.07,59,75,9.77,BR,1699622290
328,mikun',62.3547,50.0771,-0.89,88,100,1.53,RU,1699622446
329,mabaruma,8.2,-59.7833,30.24,64,99,2.39,GY,1699622447
330,linxia chengguanzhen,35.6003,103.2064,5.81,55,67,1.27,CN,1699622448
331,afaahiti,-17.75,-149.2833,23.93,84,100,4.08,PF,1699622449
332,murray bridge,-35.1167,139.2667,20.62,58,97,8.42,AU,1699622450
333,valparaiso,-33.0393,-71.6273,13.13,100,100,5.14,CL,1699622199
334,kiffa,16.6166,-11.4045,34.12,12,0,3.89,MR,1699622451
335,butare,-2.5967,29.7394,22.93,64,100,0.58,RW,1699622452
336,kalkaman,51.9525,76.0211,3.52,96,100,5.85,KZ,1699622453
337,nikolayevsk-on-amure,53.1406,140.73,-6.81,95,100,2.3,RU,1699622454
338,ishigaki,24.3448,124.1572,24.07,94,75,8.23,JP,1699622455
339,paradip garh,20.3167,86.6167,25.11,60,4,3.66,IN,1699622455
340,neryungri,56.6709,124.6491,-17.53,98,100,1.37,RU,1699622456
341,vorgashor,67.5833,63.95,-5.66,93,100,4.47,RU,1699622457
342,farasan,16.7022,42.1183,29.63,63,100,2.47,SA,1699622458
343,torghay,49.6339,63.4981,8.87,71,100,4.92,KZ,1699622459
344,gemena,3.25,19.7667,25.15,83,100,1.12,CD,1699622460
345,soe,-9.8607,124.284,20.4,87,38,1.51,ID,1699622461
346,mumford,5.2618,-0.759,28.38,78,58,6.0,GH,1699622462
347,saint-pierre,-21.3393,55.4781,27.54,69,75,3.6,RE,1699622463
348,aswan,24.0934,32.907,35.53,27,15,4.1,EG,1699622465
